src,item_name,price_for_UNIT/KG,amount_KG,amount_UNIT,date,hebrew_name
yenot bitan,White cheese Tarra,4.75,0,1,03/07/19,גבינה לבנה טרה
yenot bitan,Danone Pro 20g,5.9,0,2,03/07/26,דנונה פרו 20 גרם
yenot bitan,Milk in a bag 3%,5.17,0,1,03/07/19,חלב בשקית 3%
yenot bitan,Spoons 100 units,5.9,0,2,03/07/21,כפיות 100 יחידות
yenot bitan,Bread from rye flour,15.9,0,1,03/07/19,לחם מקמח שיפון
yenot bitan,M.LSR eggs L,11.3,0,2,03/07/19,מ.לסר ביצים L
yenot bitan,Cucumber,4.9,0.565,0,03/07/19,מלפפונים
yenot bitan,Colgate toothpaste,18.9,0,1,03/07/24,משחת שניים קולגייט
yenot bitan,Natural soybean Tnuva,10.9,0,1,03/07/19,סויה תנובה טבעי
yenot bitan,Spring grapefruit diet,6.5,0,1,03/07/19,ספרינג דיאט אשקולית
yenot bitan,Tomatoes,3.9,1.115,0,03/07/19,עגבניות
yenot bitan,Amnon fish,31.9,0.925,0,03/07/27,פילה אמנון קפוא
yenot bitan,Red pepper,9.9,0.51,0,03/07/19,פלפל אדום
yenot bitan,Cottage 3% Tnuva,5.5,0,1,03/07/23,קוטג’ תנובה 3%
yenot bitan,Caffeine-free kola zero,7.6,0,1,03/07/19,קולה זירו נטול קפאין
yenot bitan,Swelled flour without sifting,8.9,0,1,03/07/19,קמח תופח ללא צורך בניפוי
yenot bitan,White Chef whipped cream,13.9,0,1,03/07/25,קצפת השף הלבן
yenot bitan,Creamy white chef,8.2,0,1,03/07/22,שמנת השף הלבן
yenot bitan,Bag,0.1,0,2,03/07/20,שקיות
