src,item_name,price_for_UNIT/KG,amount_KG,amount_UNIT,date,hebrew_name,220319
rami levi,Romanian bagel,5.9,0,2,22/03/19,בייגל רומני,
rami levi,Tiny carrots,4.9,1.123,0,22/03/19,גזר גמדי,
rami levi,Vinegar,5.9,0,1,22/03/19,חומץ,
rami levi,eggplant,6,1.285,0,22/03/19,חציל,
rami levi,Lily toilet paper,15.9,0,2,22/03/19,טיק טק בקבוקון,
rami levi,Yolo Chocolate,3.5,0,3,22/03/19,יולו שוקולד,
rami levi,Cauliflower,9.9,0.8,0,22/03/19,כרובית ,
rami levi,Waffle case,11.9,0,5,22/03/19,מארז וופל 640,
rami levi,Melon,3.4,4.6,0,22/03/19,מלון,
rami levi,Cucumber,1.7,2.03,0,22/03/19,מלפפון,
rami levi,Apricot,13.9,0.425,0,22/03/19,משמש,
rami levi,Lily toilet paper,38.9,0,1,22/03/19,נייר טואלט לילי,
rami levi,Hotdog,16.5,0,2,22/03/19,נקנקיות  ,
rami levi,Lemon soda,9.9,0,1,22/03/19,סודה בטעם לימון,
rami levi,Pin pu candy,9.9,0.35,0,22/03/19,סוכריות פין פו ,
rami levi,beet,2.5,1.89,0,22/03/19,סלק אדום,
rami levi,Tomatoes,1.7,2.535,0,22/03/19,עגבניה,
rami levi,Lentils in the package,7.9,0,3,22/03/19,עדשים במארז,
rami levi,Green grapes,14.7,1.125,0,22/03/19,ענבים ירוקים,
rami levi,Mushrooms in a couple,14.9,0,1,22/03/19,פטריות זוגות,
rami levi,Amnon fish,29.9,2.312,0,22/03/19,פילה אמנון,
rami levi,Fresh garlic,14,0.245,0,22/03/19,שום טרי,
rami levi,Dry garlic,3.9,0,1,22/03/19,שום יבש,
rami levi,loquat,19.9,0.36,0,22/03/19,שסק,
rami levi,Aluminum pans,19.9,0,1,22/03/19,תבניות אחסון ואפיה,
rami levi,M&Ms,4.9,0,1,22/03/19,M&M  חטיף,
