src,item_name,price_for_UNIT/KG,amount_KG,amount_UNIT,date,hebrew_name
rami levi,Avocado,12.9,0.75,0,27/06/19,אבוקדו
rami levi,Peach,4.8,1.27,0,27/06/19,אפרסק
rami levi,sweet potato,4.9,1.65,0,27/06/19,בטטה
rami levi,White cheese ski,4.61,0,2,27/06/19,גבינה לבנה סקי
rami levi,Jumex Pineapple juice,7.6,0,1,27/06/19,גומקס מיץ אננס
rami levi,fresh packaged chicken breast,39.9,1.268,0,27/06/19,חזה טרי ארוז
rami levi,Fresh whole chicken breast,34.9,1.053,0,27/06/19,חזה שלם טרי
rami levi,eggplant,2.9,1.53,0,27/06/19,חציל
rami levi,Starkist Tuna,24.8,0,2,27/06/19,טונה סטארקיסט
rami levi,Tahina Jerusalem,12.9,0,1,27/06/19,טחינה ירושלים
rami levi,Fresh chicken thighs,20.9,1.674,0,27/06/19,כרעיים טרי ארוז
rami levi,Lemon,3.5,12.1,0,27/06/19,לימון
rami levi,Country Collection,19.9,0,1,27/06/19,לקט כפרי
rami levi,Waffle case,11.9,0,2,27/06/19,מארז וופל
rami levi,Huggies Wet Wipes,17.8,0,1,27/06/19,מגבונים לחים האגיס
rami levi,Melon,3.4,2.465,0,27/06/19,מלון
rami levi,Cucumber,1.7,2.03,0,27/06/19,מלפפון
rami levi,package of tissues,10.9,0,1,27/06/19,ממחטות מארז
rami levi,Apricot,13.9,0.425,0,27/06/19,משמש
rami levi,Yogurt drink go,5.9,0,1,27/06/19,משקה יוגורט גו
rami levi,Light drink oranges,3.8,0,2,27/06/19,משקה קל תפוזים
rami levi,Lily toilet paper,38.9,0,1,27/06/19,נייר טואלט לילי
rami levi,Nicole napkins,5.9,0,2,27/06/19,ניקול מפיות
rami levi,Nectarine,4.8,1.33,0,27/06/19,נקטרינה
rami levi,Pin pu candy,9.9,0.35,0,27/06/19,סוכריות פין פו 
rami levi,beet,2.5,1.89,0,27/06/19,סלק אדום
rami levi,Tomatoes,1.7,2.535,0,27/06/19,עגבניה
rami levi,Lentils in the package,7.9,0,1,27/06/19,עדשים במארז
rami levi,Green grapes,14.7,1.125,0,27/06/19,ענבים ירוקים
rami levi,Amnon fish,29.9,1.465,0,27/06/19,פילה אמנון
rami levi,Salmon fish,64.9,1.314,,27/06/19,פילה סלמון רמי
rami levi,Cottage 5%,5.8,0,2,27/06/19,קוטג’ 5% שומן
rami levi,Coca Cola Bottle,6.5,0,1,27/06/19,קוקה קולה בקבוק
rami levi,Squash,2.5,2.065,0,27/06/19,קישוא
rami levi,Green beans,8.7,0,1,27/06/19,שיעועית ירוקה
rami levi,Potato Crunch,9.9,0,1,27/06/19,תפוצ’יפס קראנצ’
